"","DATE","GDP","cpi","bond_yield","int_Rate","unemply_claims","avg_hours_worked","housing_permits","population_perc_change","unemployment_rate","perc_ch_GDP"
"1",1987-04-01,8465.63,4.316796435,8.34333333333333,1.6747619047619,330903.846153846,-1.4,1541,0.21101,6.26666666666667,1.07884
"2",1987-07-01,8539.075,4.24614138766667,8.87666666666667,2.0021875,320038.461538462,1,1513.66666666667,0.24754,6,0.86757
"3",1987-10-01,8685.694,4.32010495866667,9.12333333333333,2.21822580645161,306980.769230769,2.3,1416.33333333333,0.24693,5.83333333333333,1.71704
"4",1988-01-01,8730.569,4.40737768466667,8.41666666666667,1.74564516129032,322711.538461538,1.7,1402.33333333333,0.19982,5.7,0.51665
"5",1988-04-01,8845.28,4.50637472633333,8.91,1.74079365079365,311115.384615385,1.3,1452.66666666667,0.20843,5.46666666666667,1.3139
"6",1988-07-01,8897.107,4.70961144633333,9.1,1.11796875,314769.230769231,0.5,1445,0.26044,5.46666666666667,0.58593
"7",1988-10-01,9015.661,4.72229363866667,8.95666666666667,0.477377049180328,292553.571428571,0.6,1508.33333333333,0.24957,5.33333333333333,1.3325
"8",1989-01-01,9107.314,4.76985429333333,9.20666666666667,-0.265245901639344,302187.5,0.9,1354.33333333333,0.20084,5.2,1.0166
"9",1989-04-01,9176.827,4.71077098566667,8.77333333333333,-0.971875,320307.692307692,-0.1,1359.66666666667,0.226,5.23333333333333,0.76327
"10",1989-07-01,9244.816,4.81840382966667,8.10666666666667,-0.973015873015873,337160.714285714,-1.8,1310.33333333333,0.27569,5.23333333333333,0.74088
"11",1989-10-01,9263.033,4.82378461166667,7.90666666666667,-0.74258064516129,349153.846153846,-3.1,1377,0.27291,5.36666666666667,0.19705
"12",1990-01-01,9364.259,5.02160540166667,8.42333333333333,0.160967741935484,356807.692307692,-2.9,1441,0.22627,5.3,1.0928
"13",1990-04-01,9398.243,5.28878150266667,8.67666666666667,0.436507936507936,357576.923076923,-0.3,1103.66666666667,0.31119,5.33333333333333,0.36291
"14",1990-07-01,9404.494,5.779878597,8.70333333333333,0.517142857142857,378653.846153846,0.6,1041,0.35388,5.7,0.06651
"15",1990-10-01,9318.876,5.731139863,8.39666666666667,0.626774193548387,436153.846153846,-2.5,909,0.35396,6.13333333333333,-0.91039
